seqid	protein_class	prot_len	mean_disorder	frac_disordered	has_prd
RT_DBV	RT	314	0.0771	0.0	0
RT_TaBV	RT	313	0.0814	0.0	0
RT_BSOLV	RT	314	0.1506	0.0732	0
RT_ScBIMV	RT	314	0.0885	0.0	0
RT_DrMV	RT	313	0.1525	0.0767	0
RT_BsCVBV	RT	314	0.0842	0.0	0
RT_ComYMV	RT	314	0.0938	0.0	0
RT_RuFDV	RT	305	0.1193	0.0656	0
VAP_CaMV	VAP	129	0.3512	0.4186	0
VAP_CERV	VAP	128	0.4005	0.3984	0
VAP_LLDAV	VAP	122	0.4285	0.4426	0
VAP_MiMV	VAP	124	0.4051	0.4194	0
VAP_FMV	VAP	115	0.3519	0.3826	0
VAP_EVCV	VAP	126	0.4727	0.5238	0
VAP_BSMyV	VAP	156	0.1059	0.0	0
ORFC_SbCMV	ORFC	171	0.2483	0.1053	0
ORFC_CmYLCV	ORFC	158	0.2697	0.2848	0
VAP_SVBV	VAP	116	0.356	0.3707	0
GAG_Max	GAG	270	0.125	0.0	0
GAG_Bel	GAG	268	0.1568	0.0858	0
GAG_Moose	GAG	271	0.118	0.0664	0
GAG_Roo	GAG	266	0.082	0.0	0
GAG_Tas	GAG	271	0.2144	0.1661	0
GAG_Cer7	GAG	265	0.1435	0.0717	0
GAG_Cer10-1	GAG	360	0.3561	0.2639	0
GAG_Mabel	GAG	287	0.2183	0.1533	0
GAG_Ninja	GAG	273	0.1022	0.0	0
GAG_Tamy	GAG	269	0.1305	0.0	0
GAG_Pao	GAG	276	0.1746	0.1087	0
GAG_Cubel	GAG	278	0.1932	0.1259	0
GAG_Zebel	GAG	310	0.1736	0.1323	0
GAG_Sinbad	GAG	285	0.0628	0.0	0
GAG_Saci-6	GAG	288	0.1048	0.0	0
GAG_Kobel	GAG	280	0.1882	0.1321	0
GAG_Suzu	GAG	286	0.138	0.0	0
GAG_Gabel	GAG	287	0.1875	0.0557	0
AP_Pao	AP	135	0.1469	0.0	0
AP_Ninja	AP	135	0.2353	0.0	0
AP_Tamy	AP	136	0.167	0.0	0
AP_Cubel	AP	137	0.5343	1.0	0
AP_Zebel	AP	138	0.1187	0.0	0
AP_Suzu	AP	128	0.1426	0.0	0
AP_Gabel	AP	130	0.127	0.0	0
AP_Roo	AP	131	0.1965	0.0	0
AP_Moose	AP	135	0.1794	0.0	0
AP_Max	AP	137	0.453	0.4015	0
AP_Bel	AP	138	0.1484	0.0	0
AP_Kobel	AP	138	0.3255	0.1377	0
AP_Tas	AP	133	0.1542	0.0	0
AP_Cer10-1	AP	144	0.3805	0.2153	0
AP_Cer7	AP	136	0.119	0.0	0
AP_Mabel	AP	137	0.0968	0.0	0
AP_Sinbad	AP	135	0.1191	0.0	0
AP_Saci-6	AP	135	0.109	0.0	0
RNaseH_Kobel	RNaseH	133	0.1678	0.1053	0
RNaseH_Moose	RNaseH	132	0.1015	0.0	0
RNaseH_Suzu	RNaseH	133	0.0972	0.0	0
RNaseH_Gabel	RNaseH	133	0.1014	0.0	0
RNaseH_Tamy	RNaseH	131	0.1294	0.0	0
RNaseH_Ninja	RNaseH	133	0.1709	0.0977	0
RNaseH_Cubel	RNaseH	132	0.1158	0.0	0
RNaseH_Zebel	RNaseH	133	0.0984	0.0	0
RNaseH_Pao	RNaseH	99	0.905	1.0	0
RNaseH_Sinbad	RNaseH	22	0.631	1.0	0
RNaseH_Saci-6	RNaseH	65	0.1442	0.0	0
RNaseH_Max	RNaseH	132	0.3809	0.1591	0
RNaseH_Roo	RNaseH	126	0.1709	0.1032	0
RNaseH_Bel	RNaseH	132	0.4661	0.3182	0
RNaseH_Tas	RNaseH	137	0.1669	0.0	0
RNaseH_Cer7	RNaseH	140	0.0646	0.0	0
RNaseH_Cer10-1	RNaseH	144	0.2142	0.1181	0
RNaseH_Mabel	RNaseH	127	0.169	0.0	0
RT_Moose	RT	364	0.0934	0.0	0
RT_Suzu	RT	423	0.1632	0.0	0
RT_Gabel	RT	422	0.1851	0.0427	0
RT_Sinbad	RT	376	0.0835	0.0532	0
RT_Saci-6	RT	255	0.1051	0.0	0
RT_Kobel	RT	383	0.1167	0.0	0
RT_Tamy	RT	376	0.1948	0.0585	0
RT_Pao	RT	361	0.1992	0.0	0
RT_Ninja	RT	379	0.1245	0.058	0
RT_Cubel	RT	383	0.1276	0.0444	0
RT_Tas	RT	364	0.0713	0.0	0
RT_Cer7	RT	373	0.223	0.1206	0
RT_Cer10-1	RT	376	0.104	0.0346	0
RT_Mabel	RT	367	0.0773	0.0	0
RT_Max	RT	372	0.112	0.0	0
RT_Roo	RT	360	0.0963	0.0417	0
RT_Bel	RT	379	0.1267	0.0818	0
RT_Zebel	RT	378	0.0975	0.0	0
INT_SnRV	INT	581	0.1699	0.1136	0
INT_PyERV	INT	317	0.2239	0.1735	0
INT_ASSBSV	INT	420	0.1531	0.0	0
INT_BFV	INT	437	0.2108	0.1442	0
INT_DrFV-1	INT	281	0.151	0.0	0
INT_EFV	INT	393	0.229	0.1705	0
INT_FFV	INT	403	0.1844	0.1092	0
INT_K-HERV	INT	417	0.3213	0.2374	0
INT_XEN1	INT	373	0.133	0.067	0
INT_ZFERV-2	INT	425	0.167	0.0824	0
INT_ZFERV	INT	569	0.2282	0.0949	0
INT_Hydra2-1	INT	469	0.267	0.1919	0
INT_Gmr1	INT	331	0.0979	0.0	0
INT_rGmr1	INT	332	0.1578	0.0422	0
INT_G-Rhodo	INT	448	0.2998	0.279	0
INT_Amn-san	INT	491	0.3325	0.1752	0
INT_Amn-ni	INT	414	0.2565	0.0821	0
INT_Amn-ichi	INT	433	0.2952	0.2656	0
INT_Boudicca	INT	319	0.1414	0.0	0
INT_CFG1	INT	372	0.3909	0.3091	0
INT_DRM	INT	361	0.3061	0.2465	0
INT_SPM	INT	403	0.3342	0.2506	0
INT_Tor4a	INT	307	0.2367	0.0945	0
INT_Tor1	INT	328	0.2087	0.1768	0
INT_Tor2	INT	340	0.1776	0.0	0
INT_Mabel	INT	596	0.2069	0.1091	0
INT_Bel	INT	507	0.1283	0.0	0
INT_Cer7	INT	671	0.2321	0.2012	0
INT_Cer10-1	INT	556	0.3886	0.3363	0
INT_Cubel	INT	590	0.2063	0.1034	0
INT_Gabel	INT	543	0.3142	0.3039	0
INT_Hydra3-1	INT	409	0.0968	0.0	0
INT_Kobel	INT	518	0.1894	0.0811	0
INT_Max	INT	520	0.1012	0.0	0
INT_Moose	INT	527	0.0883	0.0	0
INT_Nabel	INT	530	0.1001	0.0	0
INT_Ninja	INT	529	0.3837	0.3875	0
INT_Saci-6	INT	263	0.1174	0.0	0
INT_Spirobel	INT	522	0.1057	0.0	0
INT_Suzu	INT	589	0.1295	0.0951	0
INT_Tamy	INT	588	0.258	0.2245	0
INT_Tas	INT	419	0.172	0.0835	0
INT_Tribel	INT	492	0.1753	0.065	0
INT_Zebel	INT	526	0.1019	0.0	0
GAG_Cico1	GAG	255	0.2029	0.102	0
AP_Cico1	AP	148	0.0863	0.0	0
GAG_GalEa1	GAG	312	0.4024	0.4615	0
AP_GalEa1	AP	138	0.0962	0.0	0
GAG_Humnum	GAG	253	0.299	0.3043	0
AP_Humnum	AP	157	0.0905	0.0	0
GAG_Tdh2	GAG	335	0.2674	0.2597	0
AP_Tdh2	AP	160	0.2591	0.1875	0
GAG_Tork4	GAG	265	0.2984	0.3094	0
AP_Tork4	AP	116	0.1062	0.0	0
GAG_Tricopia	GAG	269	0.2125	0.1041	0
AP_Tricopia	AP	133	0.2365	0.0977	0
AP_TSI-9	AP	130	0.1542	0.1	0
GAG_TSI-9	GAG	811	0.4823	0.5388	0
GAG_Ty1B	GAG	431	0.5668	0.5916	1
AP_Ty1B	AP	150	0.3213	0.22	0
GAG_Ty2	GAG	424	0.5616	0.5755	0
AP_Ty2	AP	170	0.2629	0.1588	0
AP_Ty4	AP	128	0.2577	0.1719	0
GAG_Ty4	GAG	410	0.2177	0.2146	0
GAG_V12	GAG	272	0.2731	0.1618	0
AP_V12	AP	153	0.0826	0.0	0
AP_Zeco1	AP	170	0.2201	0.1941	0
GAG_Zeco1	GAG	264	0.1958	0.1098	0
GAG_Zeco2	GAG	237	0.2743	0.2869	0
AP_Zeco2	AP	170	0.2809	0.2059	0
GAG_ToRTL1	GAG	660	0.3646	0.3924	0
AP_ToRTL1	AP	130	0.1612	0.0	0
GAG_RTvr2	GAG	290	0.4474	0.469	0
AP_RTvr2	AP	120	0.1193	0.0	0
GAG_PyRE1G1	GAG	308	0.3074	0.3312	0
AP_PyRE1G1	AP	161	0.1353	0.0	0
GAG_Poco	GAG	309	0.2323	0.1748	0
AP_Poco	AP	138	0.1484	0.0	0
GAG_Olco1	GAG	267	0.1813	0.0	0
AP_Olco1	AP	128	0.3426	0.0	0
GAG_Batata	GAG	276	0.3626	0.3442	0
AP_Batata	AP	150	0.1093	0.0	0
ENV_Opie-2	ENV	411	0.3135	0.3577	0
GAG_Opie-2	GAG	535	0.3477	0.2935	0
AP_Opie-2	AP	89	0.1178	0.0	0
AP_Koala	AP	124	0.1953	0.0	0
GAG_Koala	GAG	303	0.332	0.3399	0
GAG_Mtanga	GAG	267	0.3227	0.2921	0
AP_Mtanga	AP	220	0.1402	0.0	0
GAG_Copia	GAG	276	0.2226	0.2899	0
AP_Copia	AP	156	0.1636	0.1474	0
AP_Koco	AP	98	0.2053	0.1735	0
GAG_Koco	GAG	304	0.2706	0.2829	0
GAG_CoDi5.1	GAG	352	0.4022	0.3381	0
AP_CoDi5.1	AP	152	0.4997	0.2368	0
GAG_CoDi4.5	GAG	635	0.3491	0.3606	0
AP_CoDi4.5	AP	161	0.1815	0.087	0
GAG_CoDi4.4	GAG	461	0.2897	0.2343	0
AP_CoDi4.4	AP	157	0.1175	0.0	0
AP_CoDi6.7	AP	120	0.5586	0.6333	0
GAG_CoDi6.7	GAG	455	0.2248	0.2286	0
GAG_CoDi6.3	GAG	343	0.2764	0.2711	0
AP_CoDi6.3	AP	165	0.1646	0.0	0
GAG_CoDi6.4	GAG	334	0.3574	0.3922	0
AP_CoDi6.4	AP	156	0.2033	0.141	0
GAG_CoDi5.2	GAG	337	0.4004	0.5401	0
AP_CoDi5.2	AP	167	0.3392	0.2994	0
GAG_Vitico1-2	GAG	218	0.09	0.0	0
GAG_Tkm1	GAG	421	0.5468	0.5511	1
AP_Tkm1	AP	126	0.147	0.0	0
GAG_Hydra1-1	GAG	257	0.1321	0.0	0
AP_Hydra1-1	AP	132	0.1295	0.0	0
GAG_CoDi5.5	GAG	391	0.1235	0.0	0
AP_CoDi5.5	AP	166	0.389	0.494	0
GAG_CoDi5.3	GAG	332	0.2901	0.2922	0
AP_CoDi5.3	AP	160	0.2893	0.225	0
GAG_SIRE1-4	GAG	538	0.371	0.4703	0
AP_SIRE1-4	AP	165	0.1529	0.0	0
ENV_SIRE1-4	ENV	680	0.5146	0.5485	0
GAG_pCretro3	GAG	259	0.2894	0.2896	0
AP_pCretro3	AP	133	0.1265	0.0	0
GAG_Hopscotch	GAG	304	0.3486	0.3947	0
AP_Hopscotch	AP	152	0.2087	0.0	0
GAG_Hydra1-2	GAG	288	0.2557	0.2222	0
AP_Hydra1-2	AP	147	0.1111	0.0	0
GAG_CoDi5.4	GAG	397	0.1993	0.1814	0
AP_CoDi5.4	AP	182	0.2129	0.2363	0
GAG_CoDi6.5	GAG	392	0.3223	0.3087	0
AP_CoDi6.5	AP	168	0.2991	0.3155	0
GAG_CoDi6.2	GAG	373	0.2203	0.252	0
AP_CoDi6.2	AP	156	0.0965	0.0	0
GAG_Oryco1-2	GAG	399	0.4098	0.4361	0
AP_Oryco1-2	AP	146	0.1617	0.0959	0
GAG_Oryco1-1	GAG	299	0.1439	0.0	0
GAG_Melmoth	GAG	405	0.3454	0.3333	0
AP_Melmoth	AP	161	0.1639	0.0	0
GAG_Fourf	GAG	258	0.4127	0.469	0
AP_Fourf	AP	147	0.0916	0.0	0
GAG_CoDi7.1	GAG	484	0.3912	0.3926	0
AP_CoDi6.6	AP	212	0.6275	1.0	0
GAG_CoDi6.6	GAG	526	0.2802	0.3004	0
GAG_CoDi6.1	GAG	482	0.2445	0.2676	0
AP_CoDi6.1	AP	315	0.3643	0.3238	0
GAG_CoDi5.6	GAG	587	0.5537	0.632	1
AP_CoDi5.6	AP	135	0.2845	0.1556	0
GAG_Osser	GAG	334	0.4632	0.4491	0
AP_Osser	AP	135	0.1377	0.0	0
GAG_pCal	GAG	324	0.2394	0.2099	0
AP_pCal	AP	160	0.1203	0.0	0
AP_Sto-4	AP	149	0.1623	0.0	0
GAG_Sto-4	GAG	287	0.2306	0.1568	0
GAG_Tnt-1	GAG	261	0.3026	0.2835	0
AP_Tnt-1	AP	174	0.0928	0.0	0
GAG_Tto1	GAG	276	0.3956	0.413	0
AP_Tto1	AP	162	0.0732	0.0	0
GAG_Xanthias	GAG	260	0.1876	0.0615	0
AP_Xanthias	AP	175	0.1471	0.0	0
GAG_Yokozuna	GAG	292	0.3672	0.2603	0
AP_Yokozuna	AP	186	0.0884	0.0	0
GAG_1731	GAG	273	0.3404	0.3333	0
AP_1731	AP	136	0.1514	0.0	0
GAG_Araco	GAG	320	0.3309	0.3594	0
AP_Araco	AP	122	0.4157	0.3689	0
GAG_CoDi2.4	GAG	518	0.3013	0.3533	0
AP_CoDi2.4	AP	169	0.1414	0.0	0
GAG_CoDi3.1	GAG	624	0.4774	0.4856	0
AP_CoDi3.1	AP	164	0.1461	0.0	0
GAG_CoDi4.1	GAG	539	0.3355	0.2727	0
AP_CoDi4.1	AP	169	0.1462	0.0	0
GAG_CoDi4.3	GAG	470	0.2794	0.2468	0
GAG_Endovir1-1	GAG	603	0.362	0.272	0
AP_Endovir1-1	AP	134	0.3719	0.3806	0
ENV_Endovir1-1	ENV	461	0.3729	0.3492	0
GAG_Tse1	GAG	383	0.5404	0.6345	0
AP_Tse1	AP	135	0.1084	0.0	0
GAG_Retrofit	GAG	310	0.2853	0.3484	0
AP_Retrofit	AP	179	0.2523	0.0	0
GAG_pCretro6	GAG	287	0.3633	0.3415	0
AP_pCretro6	AP	158	0.1164	0.0	0
ENV_K-HERV	ENV	698	0.2063	0.1361	0
GAG_K-HERV	GAG	695	0.3973	0.3899	1
dUTPase_K-HERV	dUTPase	177	0.3368	0.3051	0
AP_K-HERV	AP	126	0.1633	0.0	0
ENV_XEN1	ENV	537	0.254	0.1732	0
GAG_XEN1	GAG	385	0.3864	0.3844	0
AP_XEN1	AP	136	0.1915	0.0	0
AP_ZFERV	AP	147	0.2885	0.3946	0
ENV_ZFERV	ENV	643	0.138	0.112	0
GAG_ZFERV-2	GAG	588	0.4259	0.517	0
AP_ZFERV-2	AP	213	0.1043	0.0	0
ENV_ZFERV-2	ENV	384	0.1358	0.0781	0
GAG_SnRV	GAG	618	0.3476	0.3479	0
AP_SnRV	AP	118	0.1276	0.0	0
ENV_SnRV	ENV	1130	0.2366	0.1558	0
ENV_ASSBSV	ENV	687	0.2298	0.198	0
GAG_ASSBSV	GAG	749	0.557	0.5888	1
GAG_BFV	GAG	544	0.4788	0.5018	1
AP_BFV	AP	168	0.1329	0.0833	0
ENV_BFV	ENV	990	0.1183	0.0677	0
GAG_DrFV-1	GAG	674	0.5254	0.5519	0
AP_DrFV-1	AP	183	0.1369	0.0	0
GAG_EFV	GAG	559	0.4337	0.415	1
AP_EFV	AP	205	0.1377	0.0732	0
ENV_EFV	ENV	986	0.109	0.0375	0
ENV_FFV	ENV	982	0.1562	0.1222	0
GAG_FFV	GAG	514	0.3598	0.3268	1
AP_FFV	AP	163	0.157	0.092	0
ENV_PyERV	ENV	638	0.2468	0.21	0
GAG_PyERV	GAG	561	0.3872	0.4296	0
AP_PyERV	AP	132	0.3642	0.4242	0
GAG_Amn-ichi	GAG	328	0.2719	0.2591	0
GAG_Amn-san	GAG	346	0.3634	0.4277	0
GAG_Amn-ni	GAG	330	0.3555	0.3515	0
GAG_Boudicca	GAG	274	0.305	0.2555	0
GAG_CFG1	GAG	298	0.3067	0.2517	0
GAG_DRM	GAG	258	0.1456	0.0504	0
GAG_Gmr1	GAG	297	0.4191	0.5152	0
GAG_Hydra2-1	GAG	274	0.2131	0.1277	0
GAG_REM1	GAG	556	0.4157	0.4406	0
GAG_rGmr1	GAG	252	0.1708	0.127	0
GAG_SPM	GAG	283	0.2766	0.2438	0
GAG_Tor1	GAG	553	0.3995	0.387	0
GAG_Tor2	GAG	376	0.2836	0.2021	0
GAG_Tor4a	GAG	385	0.3006	0.2675	0
GAG_G-Rhodo	GAG	397	0.4483	0.5819	0
AP_DRM	AP	84	0.1086	0.0	0
AP_CFG1	AP	86	0.1872	0.0	0
AP_Hydra2-1	AP	88	0.1807	0.0	0
AP_SPM	AP	127	0.1625	0.0	0
AP_Gmr1	AP	83	0.3269	0.0	0
AP_rGmr1	AP	85	0.1619	0.0	0
AP_Amn-ichi	AP	90	0.2494	0.0	0
AP_Amn-san	AP	91	0.1922	0.0	0
AP_Amn-ni	AP	90	0.1796	0.0	0
AP_REM1	AP	97	0.1255	0.0	0
AP_G-Rhodo	AP	86	0.3854	0.5	0
AP_Tor4a	AP	83	0.219	0.1928	0
AP_Tor2	AP	85	0.2785	0.0	0
AP_Boudicca	AP	79	0.2284	0.0	0
AP_Tor1	AP	94	0.3001	0.4149	0
RT_SnRV	RT	232	0.0652	0.0	0
RT_ZFERV-2	RT	228	0.0753	0.0	0
RT_ASSBSV	RT	230	0.1953	0.1913	0
RT_ZFERV	RT	230	0.0864	0.0	0
ORFX_PyERV	ORFX	100	0.4303	0.27	0
dUTPase_PyERV	dUTPase	112	0.1776	0.0	0
phosporylase_XEN1	phosporylase	252	0.1248	0.0	0
ORF1_SnRV	ORF1	52	0.7167	1.0	0
ORF2_SnRV	ORF2	94	0.8336	1.0	0
ORF3_SnRV	ORF3	205	0.1805	0.1317	0
RT_XEN1	RT	235	0.1716	0.1106	0
RT_K-HERV	RT	230	0.0854	0.0	0
RT_PyERV	RT	231	0.0981	0.0	0
RT_BFV	RT	223	0.1086	0.0717	0
RT_EFV	RT	223	0.1048	0.0717	0
RT_FFV	RT	223	0.0812	0.0	0
RT_DrFV-1	RT	225	0.0916	0.0	0
RNaseH_Gmr1	RNaseH	119	0.3669	0.3529	0
RNaseH_rGmr1	RNaseH	118	0.2828	0.2458	0
RNaseH_REM1	RNaseH	117	0.677	1.0	0
RNaseH_CFG1	RNaseH	124	0.2013	0.0	0
RNaseH_DRM	RNaseH	124	0.2771	0.1855	0
RNaseH_SPM	RNaseH	124	0.1523	0.0	0
RNaseH_Hydra2-1	RNaseH	124	0.1711	0.0	0
RNaseH_Tor4a	RNaseH	129	0.1961	0.0	0
RNaseH_Boudicca	RNaseH	121	0.378	0.3802	0
RNaseH_Tor1	RNaseH	127	0.3408	0.3071	0
RNaseH_Tor2	RNaseH	119	0.1188	0.0	0
RNaseH_Amn-san	RNaseH	122	0.2798	0.1803	0
RNaseH_Amn-ni	RNaseH	121	0.2722	0.1653	0
RNaseH_Amn-ichi	RNaseH	120	0.1582	0.0	0
RNaseH_G-Rhodo	RNaseH	120	0.1446	0.0	0
RT_Gmr1	RT	224	0.0987	0.0	0
RT_rGmr1	RT	224	0.1344	0.058	0
RT_REM1	RT	226	0.0866	0.0	0
RT_CFG1	RT	233	0.0785	0.0	0
RT_DRM	RT	232	0.0615	0.0	0
RT_SPM	RT	233	0.0821	0.0	0
RT_Hydra2-1	RT	233	0.0587	0.0	0
RT_Tor4a	RT	229	0.1236	0.0	0
RT_Boudicca	RT	224	0.1492	0.1161	0
RT_Tor1	RT	227	0.0881	0.0	0
RT_Tor2	RT	240	0.0874	0.0	0
RT_Amn-san	RT	233	0.0827	0.0	0
RT_Amn-ni	RT	233	0.0754	0.0	0
RT_Amn-ichi	RT	232	0.0963	0.0	0
RT_G-Rhodo	RT	225	0.1093	0.0667	0
INT_REM1	INT	365	0.2584	0.0493	0
INT_Tricopia	INT	263	0.1694	0.0	0
INT_Hydra1-2	INT	259	0.0962	0.0	0
INT_Hydra1-1	INT	274	0.1169	0.0	0
INT_pCretro3	INT	266	0.1068	0.0	0
INT_pCretro6	INT	270	0.1126	0.0	0
INT_1731	INT	265	0.1229	0.0	0
INT_Xanthias	INT	264	0.1158	0.0	0
INT_SIRE1-4	INT	265	0.13	0.0	0
INT_Opie-2	INT	265	0.1441	0.0	0
INT_Endovir1-1	INT	265	0.1446	0.0	0
INT_ToRTL1	INT	281	0.2536	0.089	0
INT_TSI-9	INT	265	0.1656	0.0	0
INT_Araco	INT	264	0.2949	0.2348	0
INT_Oryco1-1	INT	260	0.1523	0.0	0
INT_Poco	INT	253	0.1986	0.0711	0
INT_Oryco1-2	INT	264	0.0933	0.0	0
INT_Melmoth	INT	258	0.203	0.2132	0
INT_Retrofit	INT	260	0.2191	0.1077	0
INT_Koala	INT	260	0.1541	0.0	0
INT_Hopscotch	INT	259	0.2001	0.139	0
INT_Tto1	INT	259	0.1305	0.0	0
INT_Batata	INT	261	0.1429	0.0	0
RNaseH_SnRV	RNaseH	146	0.2647	0.1507	0
RNaseH_ZFERV-2	RNaseH	145	0.1421	0.0	0
RNaseH_ASSBSV	RNaseH	146	0.2504	0.089	0
RNaseH_ZFERV	RNaseH	146	0.2688	0.1233	0
RNaseH_XEN1	RNaseH	142	0.2141	0.1056	0
RNaseH_K-HERV	RNaseH	124	0.2125	0.1452	0
RNaseH_PyERV	RNaseH	129	0.3774	0.4031	0
RNaseH_BFV	RNaseH	153	0.2609	0.2876	0
RNaseH_EFV	RNaseH	153	0.2899	0.2876	0
RNaseH_FFV	RNaseH	154	0.1927	0.1494	0
RNaseH_DrFV-1	RNaseH	143	0.3498	0.1678	0
INT_Sto-4	INT	268	0.0911	0.0	0
INT_Fourf	INT	259	0.2631	0.1892	0
INT_Tork4	INT	258	0.1067	0.0	0
INT_RTvr2	INT	260	0.1193	0.0	0
INT_V12	INT	259	0.177	0.0	0
INT_Tnt-1	INT	261	0.1732	0.0	0
INT_Koco	INT	266	0.094	0.0	0
INT_Copia	INT	267	0.1022	0.0	0
INT_Mtanga	INT	264	0.1182	0.0	0
INT_Humnum	INT	264	0.1996	0.1326	0
INT_Yokozuna	INT	248	0.1765	0.0	0
INT_CoDi6.3	INT	267	0.1988	0.0524	0
INT_CoDi6.2	INT	269	0.2328	0.1896	0
INT_CoDi6.4	INT	270	0.2421	0.2222	0
INT_CoDi6.5	INT	264	0.1926	0.0	0
INT_CoDi6.1	INT	290	0.1553	0.0621	0
INT_CoDi6.7	INT	293	0.1875	0.2116	0
INT_CoDi6.6	INT	321	0.4018	0.4642	0
INT_Olco1	INT	252	0.1183	0.0	0
INT_Zeco1	INT	255	0.1267	0.0	0
INT_GalEa1	INT	255	0.1233	0.0	0
INT_Cico1	INT	256	0.1396	0.0	0
INT_Zeco2	INT	256	0.1317	0.0	0
INT_Tse1	INT	272	0.1461	0.0	0
INT_Ty1B	INT	272	0.2576	0.2206	0
INT_Ty2	INT	272	0.1917	0.0882	0
INT_Ty4	INT	270	0.2011	0.2407	0
INT_Tkm1	INT	273	0.186	0.0	0
INT_pCal	INT	262	0.1849	0.0763	0
INT_Tdh2	INT	265	0.1888	0.2075	0
INT_CoDi5.3	INT	269	0.1564	0.119	0
INT_CoDi5.2	INT	269	0.1992	0.1599	0
INT_CoDi5.1	INT	270	0.2382	0.1667	0
INT_CoDi5.6	INT	282	0.1981	0.1028	0
INT_CoDi5.5	INT	253	0.1698	0.1186	0
INT_CoDi5.4	INT	265	0.2444	0.1585	0
INT_CoDi4.3	INT	252	0.3275	0.3056	0
INT_CoDi4.5	INT	257	0.3128	0.3268	0
INT_CoDi4.1	INT	265	0.3046	0.3887	0
INT_CoDi4.4	INT	251	0.2302	0.1315	0
INT_CoDi3.1	INT	272	0.2894	0.3235	0
INT_CoDi2.4	INT	272	0.1811	0.0	0
INT_CoDi7.1	INT	491	0.4627	0.389	0
INT_Osser	INT	267	0.1067	0.0	0
INT_PyRE1G1	INT	263	0.2642	0.2205	0
RNaseH_Tricopia	RNaseH	151	0.1292	0.0	0
RNaseH_Hydra1-2	RNaseH	156	0.1463	0.0	0
RNaseH_Hydra1-1	RNaseH	155	0.156	0.0	0
RNaseH_pCretro3	RNaseH	151	0.1239	0.0	0
RNaseH_pCretro6	RNaseH	152	0.1624	0.0855	0
RNaseH_1731	RNaseH	152	0.1857	0.0	0
RNaseH_Xanthias	RNaseH	152	0.1434	0.0	0
RNaseH_SIRE1-4	RNaseH	151	0.1878	0.1391	0
RNaseH_Opie-2	RNaseH	151	0.2585	0.1722	0
RNaseH_Endovir1-1	RNaseH	152	0.2375	0.1513	0
RNaseH_ToRTL1	RNaseH	151	0.2172	0.1258	0
RNaseH_TSI-9	RNaseH	151	0.481	0.6225	0
RNaseH_Araco	RNaseH	152	0.1623	0.1053	0
RNaseH_Oryco1-1	RNaseH	152	0.1705	0.0	0
RNaseH_Vitico1-1	RNaseH	137	0.0858	0.0	0
RNaseH_Poco	RNaseH	154	0.085	0.0	0
RNaseH_Oryco1-2	RNaseH	155	0.1608	0.1161	0
RNaseH_Melmoth	RNaseH	152	0.341	0.3092	0
RNaseH_Retrofit	RNaseH	152	0.2426	0.2961	0
RNaseH_Koala	RNaseH	152	0.326	0.3092	0
RNaseH_Hopscotch	RNaseH	125	0.1296	0.0	0
RNaseH_Tto1	RNaseH	151	0.186	0.1126	0
RNaseH_Batata	RNaseH	166	0.1982	0.0964	0
RNaseH_Sto-4	RNaseH	154	0.1796	0.0909	0
RNaseH_Fourf	RNaseH	155	0.2749	0.129	0
RNaseH_Tork4	RNaseH	148	0.1887	0.0946	0
RNaseH_RTvr2	RNaseH	150	0.1664	0.1133	0
RNaseH_V12	RNaseH	151	0.2239	0.1126	0
RNaseH_Tnt-1	RNaseH	151	0.1456	0.1126	0
RNaseH_Koco	RNaseH	153	0.1411	0.0	0
RNaseH_Copia	RNaseH	153	0.1395	0.0	0
RNaseH_Mtanga	RNaseH	151	0.2083	0.1325	0
RNaseH_Humnum	RNaseH	151	0.1838	0.0	0
RNaseH_Yokozuna	RNaseH	152	0.2324	0.125	0
RNaseH_CoDi6.3	RNaseH	153	0.2605	0.2418	0
RNaseH_CoDi6.2	RNaseH	153	0.233	0.1634	0
RNaseH_CoDi6.4	RNaseH	152	0.1913	0.125	0
RNaseH_CoDi6.5	RNaseH	153	0.338	0.3333	0
RNaseH_CoDi6.1	RNaseH	170	0.1298	0.0	0
RNaseH_CoDi6.7	RNaseH	170	0.1715	0.1412	0
RNaseH_CoDi6.6	RNaseH	168	0.2248	0.0	0
RNaseH_Olco1	RNaseH	160	0.136	0.1062	0
RNaseH_Zeco1	RNaseH	161	0.1494	0.1118	0
RNaseH_GalEa1	RNaseH	155	0.1255	0.0	0
RNaseH_Cico1	RNaseH	161	0.1234	0.0	0
RNaseH_Zeco2	RNaseH	161	0.0997	0.0	0
RNaseH_Tse1	RNaseH	151	0.1449	0.0	0
RNaseH_Ty1B	RNaseH	151	0.0994	0.0	0
RNaseH_Ty2	RNaseH	151	0.1246	0.0	0
RNaseH_Ty4	RNaseH	145	0.1068	0.0	0
RNaseH_Tkm1	RNaseH	151	0.2763	0.1523	0
RNaseH_pCal	RNaseH	149	0.1003	0.0	0
RNaseH_Tdh2	RNaseH	148	0.117	0.0878	0
RNaseH_CoDi5.2	RNaseH	166	0.3265	0.2349	0
RNaseH_CoDi5.1	RNaseH	169	0.4473	0.3077	0
RNaseH_CoDi5.6	RNaseH	160	0.3344	0.2687	0
RNaseH_CoDi5.5	RNaseH	157	0.3564	0.3185	0
RNaseH_CoDi5.4	RNaseH	154	0.4417	0.513	0
RNaseH_CoDi4.3	RNaseH	152	0.2158	0.1118	0
