tip	element	group	superfamily	host	clade	on_copia_tree	rt_len	short_rt	gag_len	llr	has_prd	prd_start	prd_end	prd_mid_pct	prd_zone	cchc	cchc_n
SPM	SPM	named	Ty3/Gypsy	Strongylocentrotus purpuratus	A-clade	0	233	0	283	-7.937	0				no PrLD	1	1
SRV-1	SRV-1	named	Retroviridae	Macaca mulatta	Undetermined	0	230	0	595	-9.134	0				no PrLD	1	2
STcLV2PP1664	STcLV2PP1664	named	Retroviridae	Pan paniscus	Oncovirinae C-type	0	233	0	410	-6.182	0				no PrLD	1	2
SURL	SURL	named	Ty3/Gypsy	Tripneustes gratilla	C-clade	0	225	0	274	-16.827	0				no PrLD	1	1
Saci-6	Saci-6	named	Bel/Pao	Schistosoma mansoni	Sinbad	0	255	0	288	-19.753	0				no PrLD	1	1
Sinbad	Sinbad	named	Bel/Pao	Schistosoma mansoni	Sinbad	0	376	0	285	-18.160	0				no PrLD	1	1
Skipper	Skipper	named	Ty3/Gypsy	Dictyostelium discoideum	Skipper	0	223	0	382	-16.704	0				no PrLD	1	1
Skippy	Skippy	named	Ty3/Gypsy	Fusarium sp	Pyret	0	226	0	853	0.133	0				no PrLD	1	1
SnRV	SnRV	named	Retroviridae	Ophicephalus striatus	SnRV	0	232	0	618	-15.467	0				no PrLD	1	1
Spirobel	Spirobel	named	Bel/Pao	Trichinella spiralis	Tas	0	417	0	434	-21.348	0				no PrLD	1	1
Springer	Springer	named	Ty3/Gypsy	Drosophila melanogaster	Gypsy	0	231	0	454	-5.590	0				no PrLD	0	0
Sto-4	Sto-4	named	Ty1/Copia	Zea mays	Tork	1	253	0	287	-2.194	0				no PrLD	1	1
Sushi-ichi	Sushi-ichi	named	Ty3/Gypsy	Takifugu rubripes	V-clade	0	225	0	371	-8.619	0				no PrLD	1	1
Suzu	Suzu	named	Bel/Pao	Takifugu rubripes (Fugu rubripes)	Suzu	0	423	0	286	-38.362	0				no PrLD	0	0
TF1	TF1	named	Ty3/Gypsy	Schizosaccharomyces pombe	TF1-2	0	225	0	266	-27.553	0				no PrLD	0	0
TF2	TF2	named	Ty3/Gypsy	Schizosaccharomyces pombe	TF1-2	0	225	0	269	-13.992	0				no PrLD	0	0
TSI-9	TSI-9	named	Ty1/Copia	Setaria italica	Sire	1	251	0	811	-7.262	0				no PrLD	1	2
Tamy	Tamy	named	Bel/Pao	Antheraea mylitta	Pao	0	376	0	269	-25.540	0				no PrLD	1	1
Tas	Tas	named	Bel/Pao	Ascaris lumbricoides	Tas	0	364	0	271	-13.199	0				no PrLD	1	2
Tat4-1	Tat4-1	named	Ty3/Gypsy	Arabidopsis thaliana	Tat	0	226	0	545	-7.517	0				no PrLD	0	0
Tdh2	Tdh2	named	Ty1/Copia	Debaryomyces Hanserii	Ty (Pseudovirus)	1	244	0	335	-6.222	0				no PrLD	0	0
Ted	Ted	named	Ty3/Gypsy	Trichoplusia ni	17.6	0	230	0	410	11.769	0				no PrLD	0	0
Tft2	Tft2	named	Ty3/Gypsy	Arabidopsis thaliana	Tat	0	226	0	393	-15.684	0				no PrLD	0	0
Tkm1	Tkm1	named	Ty1/Copia	kluyveromyces marxianus	Ty (Pseudovirus)	1	247	0	421	12.961	1	98	174	32.3	N-terminal	0	0
Tma	Tma	named	Ty3/Gypsy	Arabidopsis thaliana	Del	0	224	0	297	-12.273	0				no PrLD	1	1
Tnt-1	Tnt-1	named	Ty1/Copia	Nicotiana tabacum	Tork	1	254	0	261	-4.453	0				no PrLD	1	1
Tntom1	Tntom1	named	Ty3/Gypsy	Nicotiana tomentosiformis	Galadriel	0	225	0	149	-33.072	0				no PrLD	0	0
ToRTL1	ToRTL1	named	Ty1/Copia	Lycopersicon esculentum	Sire	1	248	0	660	-18.018	0				no PrLD	1	2
Tom	Tom	named	Ty3/Gypsy	Drosophila ananassae	17.6	0	230	0	398	23.017	1	211	316	66.2	middle	0	0
Tor1	Tor1	named	Ty3/Gypsy	Oikopleura dioica	Tor1	0	227	0	553	-14.789	0				no PrLD	1	1
Tor2	Tor2	named	Ty3/Gypsy	Oikopleura dioica	Tor2	0	240	0	376	-21.864	0				no PrLD	0	0
Tor4a	Tor4a	named	Ty3/Gypsy	Oikopleura dioica	Tor4	0	229	0	385	6.129	0				no PrLD	1	2
Tork4	Tork4	named	Ty1/Copia	Solanum lycopersicum	Tork	1	255	0	265	-22.786	0				no PrLD	1	1
Tribel	Tribel	named	Bel/Pao	Tribolium castaneum	Bel	0	434	0	494	-4.230	0				no PrLD	1	1
Tricopia	Tricopia	named	Ty1/Copia	Tribolium castaneum	Tricopia	1	250	0	269	-23.571	0				no PrLD	1	1
Tse1	Tse1	named	Ty1/Copia	Kazachstania exigua (Saccharomyces exiguus)	Ty (Pseudovirus)	1	247	0	383	5.162	0				no PrLD	0	0
Tse3	Tse3	named	Ty3/Gypsy	Saccharomyces exiguus	Tse3	0	226	0	255	-18.263	0				no PrLD	1	1
Tto1	Tto1	named	Ty1/Copia	Nicotiana tabacum	Tork	1	254	0	276	-10.684	0				no PrLD	1	1
Tv1	Tv1	named	Ty3/Gypsy	Drosophila virilis	17.6	0	228	0	261	22.006	0				no PrLD	0	0
Ty1B	Ty1B	named	Ty1/Copia	Saccharomyces cerevisiae	Ty (Pseudovirus)	1	241	0	431	16.883	1	49	167	25.1	N-terminal	0	0
Ty2	Ty2	named	Ty1/Copia	Saccharomyces cerevisiae	Ty (Pseudovirus)	1	242	0	424	12.991	0				no PrLD	0	0
Ty3-1	Ty3-1	named	Ty3/Gypsy	Saccharomyces cerevisiae	Ty3	0	223	0	307	-11.578	0				no PrLD	1	1
Ty4	Ty4	named	Ty1/Copia	Saccharomyces cerevisiae	Ty (Pseudovirus)	1	249	0	410	-18.341	0				no PrLD	1	1
Ulysses	Ulysses	named	Ty3/Gypsy	Drosophila virilis	Osvaldo	0	225	0	482	-14.107	0				no PrLD	0	0
V12	V12	named	Ty1/Copia	Vitis vinifera	Tork	1	254	0	272	-24.278	0				no PrLD	1	1
VMV	VMV	named	Retroviridae	Ovis sp.	Ovine/Caprine lentiviruses	0	235	0	435	-2.811	0				no PrLD	1	2
WdSV	WdSV	named	Retroviridae	Stizostedion vitreum	Undetermined	0	230	0	487	3.524	0				no PrLD	1	1
Woot	Woot	named	Ty3/Gypsy	Tribolium castaneum	Osvaldo	0	225	0	425	21.822	1	366	425	93.1	C-terminal	0	0
XEN1	XEN1	named	Retroviridae	Xenopus laevis	Undetermined	0	235	0	385	-2.309	0				no PrLD	1	2
Xanthias	Xanthias	named	Ty1/Copia	Drosophila melanogaster	1731	1	253	0	260	-28.369	0				no PrLD	1	1
Yokozuna	Yokozuna	named	Ty1/Copia	Bombyx mori	Copia	1	232	0	292	7.265	0				no PrLD	1	1
Yoyo	Yoyo	named	Ty3/Gypsy	Ceratitis capitata	Gypsy	0	230	0	470	25.349	1	301	365	70.9	C-terminal	0	0
ZFERV-2	ZFERV-2	named	Retroviridae	Danio rerio	Undetermined	0	228	0	588	-9.928	0				no PrLD	1	1
Zam	Zam	named	Ty3/Gypsy	Drosophila melanogaster	17.6	0	230	0	343	19.406	0				no PrLD	0	0
Zebel	Zebel	named	Bel/Pao	Danio rerio	Pao	0	378	0	310	-4.189	0				no PrLD	1	1
Zeco1	Zeco1	named	Ty1/Copia	Danio rerio	GalEA	1	244	0	264	-12.609	0				no PrLD	0	0
Zeco2	Zeco2	named	Ty1/Copia	Danio rerio	GalEA	1	250	0	237	-12.259	0				no PrLD	0	0
marY1	marY1	named	Ty3/Gypsy	Tricholoma spp.	MarY1	0	226	0	372	-4.631	0				no PrLD	1	1
pCal	pCal	named	Ty1/Copia	Candida albicans	Ty (Pseudovirus)	1	245	0	324	-20.543	0				no PrLD	0	0
pCretro3	pCretro3	named	Ty1/Copia	Phanerochaete chrysosporium	pCretro	1	248	0	259	-22.366	0				no PrLD	1	1
pCretro6	pCretro6	named	Ty1/Copia	Phanerochaete chrysosporium	pCretro	1	251	0	287	-22.382	0				no PrLD	1	1
rGmr1	rGmr1	named	Ty3/Gypsy	Danio rerio	Gmr1	0	224	0	252	-21.148	0				no PrLD	0	0
